County,State,Population,Per Capita Income,Poverty Count,Poverty Rate
Sitka City and Borough,Alaska,8640,39615,731,8.460648148148147
Skagway Municipality,Alaska,1107,39453,70,6.323396567299007
Southeast Fairbanks Census Area,Alaska,6878,32193,737,10.715324222157605
Valdez-Cordova Census Area,Alaska,9243,38907,714,7.724764686790003
Wrangell City and Borough,Alaska,2502,32286,194,7.753796962430055
Yakutat City and Borough,Alaska,649,32198,48,7.395993836671804
Yukon-Koyukuk Census Area,Alaska,5377,22718,1352,25.144132415845267
Apache County,Arizona,71511,15128,24963,34.907916264630614
Cochise County,Arizona,125867,26819,19476,15.47347597066745
Coconino County,Arizona,141274,27339,22539,15.954103373586081
Gila County,Arizona,53546,24251,11367,21.228476450155007
Graham County,Arizona,37996,18683,7679,20.210022107590273
Greenlee County,Arizona,9522,25780,1250,13.127494223902541
La Paz County,Arizona,20793,22879,4592,22.084355311883808
Maricopa County,Arizona,4328810,33279,588350,13.591495122216035
Mohave County,Arizona,207695,26166,33364,16.06393991189003
Navajo County,Arizona,109270,18935,29663,27.14651779994509
Pima County,Arizona,1027207,29707,167823,16.337797542267527
Pinal County,Arizona,432793,24959,53276,12.30981092577745
Santa Cruz County,Arizona,46480,21480,10729,23.08304647160069
Yavapai County,Arizona,228067,30341,29085,12.752831404806484
Yuma County,Arizona,209468,21758,39608,18.908854813145684
Arkansas County,Arkansas,17914,26386,3041,16.975549849279894
Ashley County,Arkansas,20270,23391,3347,16.512086827824373
Baxter County,Arkansas,41427,26863,5360,12.93842180220629
Benton County,Arkansas,265759,34442,24767,9.319345723004677
Boone County,Arkansas,37331,24727,5369,14.382148884305268
Bradley County,Arkansas,10874,22945,2211,20.332904175096562
Calhoun County,Arkansas,5192,23688,680,13.097072419106318
Carroll County,Arkansas,27965,25295,4096,14.646880028607187
Chicot County,Arkansas,10615,20232,2872,27.056052755534623
Clark County,Arkansas,22386,21337,4017,17.94425087108014
Clay County,Arkansas,14889,22505,3106,20.86103835046007
Cleburne County,Arkansas,25100,27227,3452,13.752988047808765
Cleveland County,Arkansas,8128,24225,1475,18.14714566929134
Columbia County,Arkansas,23776,21189,5482,23.056864064602962
Conway County,Arkansas,20858,25158,3649,17.494486527950905
Craighead County,Arkansas,107345,26948,17130,15.957892775629979
Crawford County,Arkansas,62739,24547,10609,16.90973716508073
Crittenden County,Arkansas,48672,23172,10655,21.891436554898096
Cross County,Arkansas,16824,25380,2555,15.186638135996198
Dallas County,Arkansas,7279,20517,955,13.119934056875945
Desha County,Arkansas,11709,19235,3363,28.721496284909044
Drew County,Arkansas,18417,25543,3268,17.744475213118317
